protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,first_construct_mapping,second_construct_mapping,direction_guess,clarity_rating_1_4,single_response_rating_1_4,universality_rating_1_4,scale_fit_rating_1_4,desirable_direction_guess,risk_flags,fatal_risk_note,stage1_notes
m04-core-expert-kit.v0.1,R01,W3,1,NX-120,사람들과 부담 없이 시간을 보낸 뒤,기운이 살아난 느낌이 든다.,SE_RE,NONE,HIGH,4,4,4,4,SIMILAR,NONE,NONE,
m04-core-expert-kit.v0.1,R01,W3,2,NX-059,여러 단계를 거친 일을 마치기 전에,빠뜨린 부분이 없는지 정해둔 순서로 살핀다.,SM_OS,NONE,HIGH,4,4,3,4,HIGH,SOCIAL_DESIRABILITY,NONE,
m04-core-expert-kit.v0.1,R01,W3,3,NX-049,하던 중 예상하지 못한 작은 문제가 생겼을 때,불편한 감정이 한꺼번에 올라온다.,ER_IR,NONE,HIGH,4,4,4,4,LOW,NONE,NONE,
m04-core-expert-kit.v0.1,R01,W3,4,NX-066,이번 주 안에 할 일이 생겼을 때,할 수 있는 때가 생기면 시작한다.,SM_OS,SM_EP,LOW,3,2,4,4,HIGH,ADJACENT_CONSTRUCT,NONE,가능한 때에 시작하는 유연한 계획과 무계획을 구분하기 어렵다.
m04-core-expert-kit.v0.1,R01,W3,5,NX-022,일상에서 음악을 들을 때,그 인상에 머무는 시간은 짧다.,OE_AE,NONE,LOW,4,4,4,4,SIMILAR,NONE,NONE,
m04-core-expert-kit.v0.1,R01,W3,6,NX-023,궁금했던 질문의 답을 찾았을 때,그 답이 나온 이유나 배경까지 더 알아본다.,OE_IE,NONE,HIGH,4,4,4,4,SIMILAR,NONE,NONE,
m04-core-expert-kit.v0.1,R01,W3,7,NX-084,내 제안을 충분히 설명한 뒤 상대가 원하지 않는다고 말했을 때,결정을 바꿀 다른 설득 방법이 떠오른다.,RO_RN,SE_AI,LOW,4,3,4,4,HIGH,SOCIAL_DESIRABILITY;ADJACENT_CONSTRUCT,NONE,선택 여지 제한과 설득 아이디어를 먼저 표현하는 성향이 겹친다.
m04-core-expert-kit.v0.1,R01,W3,8,NX-087,상대의 말이 끝난 뒤 해결 방법이 떠올랐을 때,떠오른 해결 방법부터 말한다.,RO_EC,RO_RN,UNCLEAR,4,3,4,4,UNCLEAR,SOCIAL_DESIRABILITY;ADJACENT_CONSTRUCT,NONE,주의의 첫 방향보다 실제 말하는 순서와 대화 배려가 함께 반영된다.
m04-core-expert-kit.v0.1,R01,W3,9,NX-029,사소한 선택에서 상대와 원하는 것이 다를 때,상대도 원하는 쪽을 선택할 수 있다는 생각이 든다.,RO_RN,NONE,HIGH,4,3,4,4,HIGH,SOCIAL_DESIRABILITY;ADJACENT_CONSTRUCT,NONE,상대 선택을 떠올리는 생각이 실제 선택 여지 유지로 이어지는지는 알기 어렵다.
m04-core-expert-kit.v0.1,R01,W3,10,NX-062,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,이용에 필요한 방법만 확인한다.,OE_IE,NONE,LOW,4,4,4,4,SIMILAR,LIMITER,NONE,필요한 범위가 이용 목적에 따라 달라질 수 있다.
m04-core-expert-kit.v0.1,R01,W3,11,NX-052,비슷한 일을 반복해서 처리할 때,다음에도 따를 수 있는 순서를 만들어둔다.,SM_OS,NONE,HIGH,4,4,4,4,HIGH,NONE,NONE,
m04-core-expert-kit.v0.1,R01,W3,12,NX-114,해야 할 일이 평소보다 조금 늘었을 때,다 해내지 못할 것 같다는 생각이 계속 이어진다.,ER_WD,NONE,HIGH,4,3,3,4,LOW,ABILITY;CLINICAL_CONTAMINATION;OTHER,NONE,실제 업무량과 시간 및 현재 불안 상태가 성향보다 답을 좌우할 수 있다.
m04-core-expert-kit.v0.1,R01,W3,13,NX-011,함께 있던 사람이 평소보다 지쳐 보일 때,그 사람이 괜찮은지 자연스럽게 신경이 간다.,NONE,RO_EC,UNCLEAR,4,2,3,4,UNCLEAR,RELATIONSHIP_STATUS;ADJACENT_CONSTRUCT,NONE,일반적인 관심은 측정하지만 상대 마음과 해결 문제의 우선순위 대비는 제시되지 않는다.
m04-core-expert-kit.v0.1,R01,W3,14,NX-057,영화나 드라마의 중간 장면만 우연히 봤을 때,그 장면만 보고 앞뒤 이야기는 따로 떠올려보지 않는다.,OE_CI,NONE,LOW,4,4,4,4,SIMILAR,NEGATION,NONE,
m04-core-expert-kit.v0.1,R01,W3,15,NX-034,의견 충돌이 길어져 답답해졌을 때,상대 자체와 지금 의견의 문제는 다르다는 생각이 든다.,RO_RN,NONE,HIGH,4,3,4,4,HIGH,SOCIAL_DESIRABILITY;ADJACENT_CONSTRUCT,NONE,사람과 의견을 구분하는 생각이 실제 존중 행동으로 이어지는지는 알기 어렵다.
m04-core-expert-kit.v0.1,R01,W3,16,NX-083,하늘이나 나무 같은 일상 풍경을 볼 때,잠시 본 뒤 하던 일로 관심이 돌아간다.,OE_AE,NONE,LOW,4,4,4,4,SIMILAR,NONE,NONE,
m04-core-expert-kit.v0.1,R01,W3,17,NX-019,함께하는 방식에 작은 조정이 필요할 때,바꾸고 싶은 부분을 먼저 말한다.,SE_AI,NONE,HIGH,4,4,3,4,SIMILAR,CULTURAL_ROLE,NONE,관계와 역할 규범이 먼저 제안하는 행동에 영향을 줄 수 있다.
m04-core-expert-kit.v0.1,R01,W3,18,NX-134,하던 일을 일상적인 이유로 잠시 멈춘 뒤,다시 시작할 계기가 생길 때까지 그대로 둔다.,SM_EP,NONE,LOW,4,4,4,4,HIGH,NONE,NONE,
m04-core-expert-kit.v0.1,R01,W3,19,NX-008,여러 날에 걸쳐 해야 하는 일이 있을 때,중간에 긴 공백이 생기지 않도록 나눠서 이어간다.,SM_EP,SM_OS,HIGH,4,3,4,4,HIGH,ADJACENT_CONSTRUCT,NONE,지속성과 작업 일정 구조화가 함께 반영된다.
m04-core-expert-kit.v0.1,R01,W3,20,NX-140,현실과 다른 가벼운 가정을 접할 때,그 안에서 일어날 장면을 이어서 떠올린다.,OE_CI,NONE,HIGH,4,4,4,4,SIMILAR,NONE,NONE,
m04-core-expert-kit.v0.1,R01,W3,21,NX-021,여럿이 모였지만 대화가 시작되지 않았을 때,다른 사람이 대화를 시작한 뒤 참여한다.,SE_AI,NONE,LOW,4,4,4,4,SIMILAR,NONE,NONE,
m04-core-expert-kit.v0.1,R01,W3,22,NX-055,여럿이 간단한 선택을 정할 때,다른 사람이 선택지를 꺼낸 뒤 내 의견을 보탠다.,SE_AI,NONE,LOW,4,4,4,4,SIMILAR,NONE,NONE,
m04-core-expert-kit.v0.1,R01,W3,23,NX-061,다른 사람에게 해주기로 한 일이 있을 때,상대가 다시 말해주면 챙긴다.,SM_RL,METHOD,LOW,4,2,4,4,HIGH,MEMORY;SOCIAL_DESIRABILITY;ADJACENT_CONSTRUCT,NONE,약속 이행보다 상대의 알림과 기억 효과가 답을 크게 좌우한다.
m04-core-expert-kit.v0.1,R01,W3,24,NX-105,내가 한 일에서 고칠 점을 들었을 때,불편한 감정이 바로 커진다.,ER_IR,NONE,HIGH,4,4,4,4,LOW,SOCIAL_DESIRABILITY,NONE,
