protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,first_construct_mapping,second_construct_mapping,direction_guess,clarity_rating_1_4,single_response_rating_1_4,universality_rating_1_4,scale_fit_rating_1_4,desirable_direction_guess,risk_flags,fatal_risk_note,stage1_notes
m04-core-expert-kit.v0.1,R05,W2,1,NX-096,영상이나 사진의 한 장면을 볼 때,그 장면이 주는 인상을 곱씹어본다.,OE_AE,NONE,HIGH,4,4,4,4,HIGH,NONE,NONE,시각 장면의 분위기와 인상에 관심이 머무는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,2,NX-010,상대의 실수 때문에 함께한 일에 문제가 생겼을 때,그 사람의 태도나 성격까지 함께 말한다.,RO_RN,ER_IR,LOW,4,3,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,수정할 행동을 넘어 사람 자체를 문제 삼아 존중의 낮은 방향으로 읽힌다.
m04-core-expert-kit.v0.1,R05,W2,3,NX-121,함께하는 방식에 작은 조정이 필요할 때,상대가 물어본 뒤 필요한 부분을 말한다.,SE_AI,NONE,LOW,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,조정 의견을 먼저 꺼내지 않고 질문 뒤 표현하는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,4,NX-132,하나의 가벼운 가능성이 떠올랐을 때,뒤에 이어질 장면까지 펼쳐본다.,OE_CI,NONE,HIGH,4,4,4,4,SIMILAR,NONE,NONE,처음 가능성 바깥의 후속 장면을 이어 떠올리는 반응이 직접적이다.
m04-core-expert-kit.v0.1,R05,W2,5,NX-042,일상에서 음악을 들을 때,소리와 분위기가 주는 인상에 관심이 간다.,OE_AE,NONE,HIGH,4,4,4,4,HIGH,NONE,NONE,소리와 분위기의 인상에 관심이 머무는 미적 경험 반응이다.
m04-core-expert-kit.v0.1,R05,W2,6,NX-125,여럿이 가벼운 활동을 한동안 함께할 때,시간이 지날수록 기운이 줄어든다.,SE_RE,NONE,LOW,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,사람들과 함께하는 동안 에너지가 감소하는 낮은 방향이다.
m04-core-expert-kit.v0.1,R05,W2,7,NX-001,해야 할 일이 몇 가지 겹쳐 있을 때,그때 눈에 띄는 일부터 처리한다.,SM_OS,SM_EP,LOW,3,3,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,순서 구조화 없이 현저한 일부터 처리해 계획과 실행 선택이 일부 겹친다.
m04-core-expert-kit.v0.1,R05,W2,8,NX-147,내가 한 것을 다른 사람이 확인할 예정일 때,해야 할 행동의 시작 시점은 크게 달라지지 않는다.,ER_WD,SM_EP,LOW,3,3,4,3,LOW,ADJACENT_CONSTRUCT,NONE,평가 앞 주저가 적다는 뜻이나 원래 실행 일정이 안정적인 경우와 구분이 약하다.
m04-core-expert-kit.v0.1,R05,W2,9,NX-054,가까운 사람이 계획한 일이 뜻대로 되지 않았다고 메시지를 보낼 때,처음에는 그 사람이 지금 어떤 마음일지가 궁금해진다.,RO_EC,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,문제 해결보다 상대의 현재 마음에 주의가 먼저 가는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,10,NX-114,해야 할 일이 평소보다 조금 늘었을 때,다 해내지 못할 것 같다는 생각이 계속 이어진다.,ER_WD,NONE,HIGH,4,4,4,4,LOW,CLINICAL_CONTAMINATION,NONE,일 증가의 불확실성에서 실패 가능성이 반복되는 걱정 반응이다.
m04-core-expert-kit.v0.1,R05,W2,11,NX-088,공동 활동의 다음 순서가 정해지지 않았을 때,다른 사람이 방법을 꺼낼 때까지 상황을 살핀다.,SE_AI,NONE,LOW,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,선택지나 진행 의견을 먼저 밖으로 꺼내지 않는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,12,NX-067,사람들과 부담 없이 시간을 보낸 뒤,혼자 조용히 회복할 시간이 필요해진다.,SE_RE,NONE,LOW,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,함께한 뒤 회복 시간이 필요해지는 에너지 감소 반응이다.
m04-core-expert-kit.v0.1,R05,W2,13,NX-080,해보려던 일이 한 번 잘되지 않았을 때,다시 해도 잘되지 않을 장면이 반복해서 떠오른다.,ER_WD,NONE,HIGH,4,4,4,4,LOW,CLINICAL_CONTAMINATION,NONE,실패 뒤 다음 실패 가능성이 반복되어 주저를 낳는 걱정 반응이다.
m04-core-expert-kit.v0.1,R05,W2,14,NX-041,누군가 힘들었던 일을 이야기할 때,무슨 일이 있었는지부터 확인한다.,RO_EC,NONE,LOW,4,4,4,4,HIGH,ADJACENT_CONSTRUCT,NONE,상대 마음보다 사건 사실에 주의가 먼저 가는 방향이다.
m04-core-expert-kit.v0.1,R05,W2,15,NX-122,나중에 다시 쓸 자료를 보관할 때,지금 쓰는 곳과 가까운 곳에 둔다.,SM_OS,NONE,LOW,3,3,4,4,HIGH,NONE,NONE,재탐색 구조보다 현재의 편의를 기준으로 두는 정리 방식이다.
m04-core-expert-kit.v0.1,R05,W2,16,NX-091,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,왜 그렇게 정해졌는지 배경이 궁금해진다.,OE_IE,NONE,HIGH,4,4,3,4,HIGH,DIGITAL_ACCESS,NONE,이용에 필요한 규칙을 넘어 제정 배경을 탐색하는 경향이다.
m04-core-expert-kit.v0.1,R05,W2,17,NX-044,누군가 속상한 일과 해결할 문제를 함께 이야기할 때,해결 방법을 말하기 전에 상대가 어떤 마음인지 먼저 확인한다.,RO_EC,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,해결보다 상대 마음을 먼저 확인하는 관계 주의 반응이 직접적이다.
m04-core-expert-kit.v0.1,R05,W2,18,NX-055,여럿이 간단한 선택을 정할 때,다른 사람이 선택지를 꺼낸 뒤 내 의견을 보탠다.,SE_AI,NONE,LOW,4,4,4,4,SIMILAR,NONE,NONE,선택지를 먼저 제시하지 않고 이후 의견을 표현하는 낮은 방향이다.
m04-core-expert-kit.v0.1,R05,W2,19,NX-111,해야 하지만 당장 재미나 보상이 적은 일을 할 때,한 번에 많이 하지 못해도 조금씩 이어간다.,SM_EP,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,즉각 보상이 적어도 행동을 지속하는 반응이 직접적이다.
m04-core-expert-kit.v0.1,R05,W2,20,NX-038,이야기의 다음 내용을 알기 전,이어질 장면을 머릿속으로 떠올려본다.,OE_CI,NONE,HIGH,4,4,4,4,SIMILAR,NONE,NONE,주어진 이야기 밖의 다음 장면을 확장해 떠올리는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,21,NX-031,함께 준비한 일이 잘 풀리지 않았을 때,처음에는 일이 어긋난 부분에 주의가 간다.,RO_EC,NONE,LOW,4,4,4,4,HIGH,ADJACENT_CONSTRUCT,NONE,함께한 사람의 마음보다 문제 지점에 주의가 먼저 가는 방향이다.
m04-core-expert-kit.v0.1,R05,W2,22,NX-032,맡은 일을 약속한 때까지 마치기 어려워졌을 때,약속한 때가 가까워진 뒤 상황을 알린다.,SM_RL,NONE,LOW,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,기한 변경을 선제적으로 맞추지 않고 임박해서 알리는 낮은 방향이다.
m04-core-expert-kit.v0.1,R05,W2,23,NX-060,결과를 확신하기 어려운 선택을 해야 할 때,같은 걱정을 되짚느라 결정을 미룬다.,ER_WD,NONE,HIGH,4,4,4,4,LOW,CLINICAL_CONTAMINATION,NONE,불확실성에서 반복 걱정이 결정 지연으로 이어지는 반응이 직접적이다.
m04-core-expert-kit.v0.1,R05,W2,24,NX-065,내가 마쳐야 다른 사람이 이어갈 수 있을 때,상대가 기다리기 전에 필요한 부분을 넘긴다.,SM_RL,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,공동 의존 관계에서 필요한 부분을 선제적으로 이행하는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,25,NX-012,작은 불편이 짧은 시간 안에 반복될 때,불편이 반복되어도 감정의 크기는 비슷하게 유지된다.,ER_IR,NONE,LOW,4,4,4,4,LOW,NONE,NONE,반복 자극에도 감정 크기가 빠르게 누적되지 않는 낮은 방향이다.
m04-core-expert-kit.v0.1,R05,W2,26,NX-099,다른 사람에게 해주기로 한 일이 있을 때,잊지 않도록 내가 확인할 방법을 마련한다.,SM_RL,SM_OS,HIGH,4,3,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,약속 이행을 위한 자기 확인이 핵심이며 확인 방법의 구조화도 포함한다.
m04-core-expert-kit.v0.1,R05,W2,27,NX-079,반복해서 쓰는 물건이나 자료를 둘 때,다시 찾을 자리를 정해둔다.,SM_OS,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,반복해 찾을 수 있도록 위치를 정하는 구조화 반응이다.
m04-core-expert-kit.v0.1,R05,W2,28,NX-082,함께 있던 사람이 평소보다 지쳐 보일 때,상대가 먼저 말을 꺼내면 그때 이야기를 듣는다.,RO_EC,NONE,LOW,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,상대 상태에 선제적으로 주의하지 않고 표현 뒤 반응하는 낮은 방향이다.
m04-core-expert-kit.v0.1,R05,W2,29,NX-115,인터넷에서 같은 주제를 다르게 설명하는 글 두 개를 발견했을 때,한 글의 설명으로 이해되면 다른 글은 더 살펴보지 않는다.,OE_IE,NONE,LOW,4,4,3,4,HIGH,DIGITAL_ACCESS;NEGATION,NONE,필요한 이해를 얻은 뒤 대안 설명과 근거 탐색을 멈추는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,30,NX-066,이번 주 안에 할 일이 생겼을 때,할 수 있는 때가 생기면 시작한다.,SM_OS,SM_EP,LOW,3,2,4,3,HIGH,ADJACENT_CONSTRUCT,NONE,시점을 미리 구조화하지 않는 뜻이나 유연한 실행 착수와 구분이 약하다.
m04-core-expert-kit.v0.1,R05,W2,31,NX-036,여럿의 일정을 맞출 때,내가 가능한 시간을 먼저 알린다.,SE_AI,RO_RN,HIGH,3,2,4,3,LOW,ADJACENT_CONSTRUCT;SOCIAL_DESIRABILITY,NONE,먼저 표현하기와 효율적 일정 조율 또는 상대 배려 규범이 겹친다.
m04-core-expert-kit.v0.1,R05,W2,32,NX-069,상대의 답이나 반응이 늦어질 때,답이 오기 전까지 한 가지 좋지 않은 이유에 오래 머물지 않는다.,ER_WD,NONE,LOW,4,4,4,4,LOW,NEGATION,NONE,불확실한 대기에서 부정 가능성에 오래 머물지 않는 낮은 방향이다.
m04-core-expert-kit.v0.1,R05,W2,33,NX-018,가깝지는 않은 사람이 힘든 일에 대한 내 의견을 물을 때,처음에는 그 일이 왜 생겼는지가 궁금해진다.,RO_EC,NONE,LOW,4,4,3,4,HIGH,ADJACENT_CONSTRUCT,NONE,상대 마음보다 사건의 원인을 먼저 보는 방향이다.
m04-core-expert-kit.v0.1,R05,W2,34,NX-123,끝내기까지 작은 마무리만 남았을 때,다른 일로 넘어가기 전에 남은 부분을 마친다.,SM_EP,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,주의를 옮기기 전에 남은 부분을 마무리하는 지속 반응이다.
m04-core-expert-kit.v0.1,R05,W2,35,NX-142,누군가 해결책을 묻지 않고 속상한 일을 이야기할 때,그 사람이 느낀 마음을 더 들어보고 싶어진다.,RO_EC,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,해결보다 상대가 느낀 마음에 주의를 이어가는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,36,NX-035,대화 중 전에 들었던 것과 비슷한 설명이 나왔을 때,지금 들은 설명에만 관심을 둔다.,OE_IE,METHOD,LOW,3,3,4,3,HIGH,MEMORY;ADJACENT_CONSTRUCT,NONE,개념 연결을 확장하지 않는 뜻이나 과거 설명의 기억 여부가 크게 작용한다.
m04-core-expert-kit.v0.1,R05,W2,37,NX-107,여럿이 일을 나눠 맡았을 때,필요한 시점 전에 내 부분의 진행 상태를 확인한다.,SM_RL,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,맡은 부분의 상태를 필요한 시점 전에 선제 확인하는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,38,NX-105,내가 한 일에서 고칠 점을 들었을 때,불편한 감정이 바로 커진다.,ER_IR,NONE,HIGH,4,4,4,4,LOW,CLINICAL_CONTAMINATION,NONE,부정 평가를 들을 때 불편한 감정이 빠르게 커지는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,39,NX-072,처음 보는 기능이 있는 생활용품을 사용할 때,왜 그런 방식으로 작동하는지 궁금해진다.,OE_IE,NONE,HIGH,4,4,3,4,HIGH,NONE,NONE,필요한 사용법을 넘어 작동 이유를 탐색하는 지적 탐구 반응이다.
m04-core-expert-kit.v0.1,R05,W2,40,NX-133,궁금했던 질문의 답을 찾았을 때,답을 확인한 뒤에는 관련 내용을 더 찾아보지 않는다.,OE_IE,NONE,LOW,4,4,4,4,HIGH,NEGATION,NONE,필요한 답을 얻은 뒤 이유와 배경 탐색을 끝내는 낮은 방향이다.
m04-core-expert-kit.v0.1,R05,W2,41,NX-034,의견 충돌이 길어져 답답해졌을 때,상대 자체와 지금 의견의 문제는 다르다는 생각이 든다.,RO_RN,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,의견 문제와 상대 사람 자체를 분리해 존엄을 유지하는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,42,NX-140,현실과 다른 가벼운 가정을 접할 때,그 안에서 일어날 장면을 이어서 떠올린다.,OE_CI,NONE,HIGH,4,4,4,4,SIMILAR,NONE,NONE,가정 안의 장면과 가능성을 이어 확장하는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,43,NX-077,관심 있는 주제로 대화가 길어질 때,잠시 대화에서 벗어나고 싶어진다.,SE_RE,NONE,LOW,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,주제 관심과 별개로 사람들과 함께하는 에너지가 줄어드는 반응이다.
m04-core-expert-kit.v0.1,R05,W2,44,NX-020,부담 없는 소규모 대화가 이어질 때,자연스럽게 그 흐름에 함께하게 된다.,SE_RE,NONE,HIGH,4,4,4,4,HIGH,SOCIAL_DESIRABILITY,NONE,소규모 대화 참여가 자연스럽게 이어지는 반응이 직접적이다.
m04-core-expert-kit.v0.1,R05,W2,45,NX-074,일상에서 색과 빛이 어우러진 장면을 볼 때,그 인상에 눈길이 오래 머문다.,OE_AE,NONE,HIGH,4,4,4,4,HIGH,NONE,NONE,시각 장면의 분위기와 인상에 관심이 오래 머무는 반응이다.
