protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,target_domain,target_facet,keyed_direction,response_layer,evidence_role,score_role,intended_response_process,target_relevance_rating_1_4,key_direction_fit_rating_1_4,coverage_contribution_rating,adjacent_separation_rating_1_4,recommendation,final_rationale
m04-core-expert-kit.v0.1,R08,W1,1,NX-145,처음 만난 소규모 자리에서 대화가 이어질 때,기운이 쉽게 줄어든다.,SE,SE-RE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,새 교류 중 소모,,,,,,
m04-core-expert-kit.v0.1,R08,W1,2,NX-079,반복해서 쓰는 물건이나 자료를 둘 때,다시 찾을 자리를 정해둔다.,SM,SM-OS,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,안정된 위치 설정,,,,,,
m04-core-expert-kit.v0.1,R08,W1,3,NX-019,함께하는 방식에 작은 조정이 필요할 때,바꾸고 싶은 부분을 먼저 말한다.,SE,SE-AI,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,조정 필요 선행 표현,,,,,,
m04-core-expert-kit.v0.1,R08,W1,4,NX-130,처음 보는 기능이 있는 생활용품을 사용할 때,어떻게 쓰는지만 확인하고 바로 사용한다.,OE,OE-IE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,사용 범위에서 탐색 종료,,,,,,
m04-core-expert-kit.v0.1,R08,W1,5,NX-008,여러 날에 걸쳐 해야 하는 일이 있을 때,중간에 긴 공백이 생기지 않도록 나눠서 이어간다.,SM,SM-EP,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,분산 지속,,,,,,
m04-core-expert-kit.v0.1,R08,W1,6,NX-139,여럿이 가벼운 활동을 함께할 때,그 흐름에 들어가면 기운이 살아난다.,SE,SE-RE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,공동 활동 중 활성화,,,,,,
m04-core-expert-kit.v0.1,R08,W1,7,NX-064,의견 충돌이 길어져 답답해졌을 때,상대의 태도나 성격까지 문제로 말한다.,RO,RO-RN,LOW,ENACTED_RESPONSE,PRIVATE_DETAIL_RESEARCH,CORE_TRAIT_EVIDENCE,ENACTED_RESPONSE,,,,,,
m04-core-expert-kit.v0.1,R08,W1,8,NX-138,대화 중 전에 들었던 것과 비슷한 설명이 나왔을 때,예전에 들은 내용과 어떻게 연결되는지 생각해본다.,OE,OE-IE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,정보 연결 탐색,,,,,,
m04-core-expert-kit.v0.1,R08,W1,9,NX-068,영상을 보거나 대화하던 중 처음 듣는 개념이 나왔을 때,그 개념이 정확히 무엇을 뜻하는지 더 알아본다.,OE,OE-IE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,개념 의미 탐색,,,,,,
m04-core-expert-kit.v0.1,R08,W1,10,NX-018,가깝지는 않은 사람이 힘든 일에 대한 내 의견을 물을 때,처음에는 그 일이 왜 생겼는지가 궁금해진다.,RO,RO-EC,LOW,REPORTED_FIRST_ORIENTATION,CORE_BASELINE,CORE_TRAIT_EVIDENCE,REPORTED_FIRST_ORIENTATION,,,,,,
