protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,target_domain,target_facet,keyed_direction,response_layer,evidence_role,score_role,intended_response_process,target_relevance_rating_1_4,key_direction_fit_rating_1_4,coverage_contribution_rating,adjacent_separation_rating_1_4,recommendation,final_rationale
m04-core-expert-kit.v0.1,R05,W2,1,NX-096,영상이나 사진의 한 장면을 볼 때,그 장면이 주는 인상을 곱씹어본다.,OE,OE-AE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,표현물 인상 성찰,4,4,IMPORTANT,4,KEEP,표현물의 인상을 곱씹는 반응은 OE-AE HIGH의 관심 지속을 직접 묻는다. 감별 능력이나 예술 지식을 요구하지 않아 핵심 기준선 증거로 적합하다.
m04-core-expert-kit.v0.1,R05,W2,2,NX-010,상대의 실수 때문에 함께한 일에 문제가 생겼을 때,그 사람의 태도나 성격까지 함께 말한다.,RO,RO-RN,LOW,ENACTED_RESPONSE,PRIVATE_DETAIL_RESEARCH,CORE_TRAIT_EVIDENCE,ENACTED_RESPONSE,4,4,IMPORTANT,3,KEEP,고칠 행동을 넘어 상대 성격까지 말하는 행동은 RO-RN LOW를 분명히 나타낸다. 감정 반응이 일부 섞이고 바람직성 압력이 커서 비공개 상세 수집 역할은 타당하다.
m04-core-expert-kit.v0.1,R05,W2,3,NX-121,함께하는 방식에 작은 조정이 필요할 때,상대가 물어본 뒤 필요한 부분을 말한다.,SE,SE-AI,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,질문 후 필요 표현,4,4,SOME,4,KEEP,조정 의견을 상대 질문 뒤에 표현하는 반응은 SE-AI LOW의 선행 표현 부재를 직접 묻는다. 리더십이나 결정 능력과 구분된다.
m04-core-expert-kit.v0.1,R05,W2,4,NX-132,하나의 가벼운 가능성이 떠올랐을 때,뒤에 이어질 장면까지 펼쳐본다.,OE,OE-CI,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,가능성 연쇄 확장,4,4,IMPORTANT,4,KEEP,처음 가능성에서 뒤 장면까지 이어가는 반응은 OE-CI HIGH의 연쇄 확장을 직접 측정한다. 창작 결과나 심상 선명도를 요구하지 않아 분리도가 높다.
m04-core-expert-kit.v0.1,R05,W2,5,NX-042,일상에서 음악을 들을 때,소리와 분위기가 주는 인상에 관심이 간다.,OE,OE-AE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,청각 인상 관심,4,4,IMPORTANT,4,KEEP,음악의 소리와 분위기가 주는 인상에 관심이 가는 반응은 OE-AE HIGH와 직접 맞는다. 시각 중심 문항을 보완하는 청각 범위라 기여가 크다.
m04-core-expert-kit.v0.1,R05,W2,6,NX-125,여럿이 가벼운 활동을 한동안 함께할 때,시간이 지날수록 기운이 줄어든다.,SE,SE-RE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,공동 활동 중 소모,4,4,IMPORTANT,4,KEEP,부담이 작은 공동 활동에서도 시간이 지나며 기운이 줄어드는 반응은 SE-RE LOW를 직접 측정한다. 활동 능력과 별개인 사회적 에너지 지속 증거다.
m04-core-expert-kit.v0.1,R05,W2,7,NX-001,해야 할 일이 몇 가지 겹쳐 있을 때,그때 눈에 띄는 일부터 처리한다.,SM,SM-OS,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,현재 단서 기반 처리,3,4,SOME,3,COPY_REVISE,순서나 묶음 없이 현재 단서로 고르는 반응은 SM-OS LOW와 맞는다. 다만 눈에 띄는 일이 실제 우선순위일 수 있고 SM-EP 선택과도 겹치므로 우선 기준을 정하지 않은 상태를 더 명시해야 한다.
m04-core-expert-kit.v0.1,R05,W2,8,NX-147,내가 한 것을 다른 사람이 확인할 예정일 때,해야 할 행동의 시작 시점은 크게 달라지지 않는다.,ER,ER-WD,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,평가 영향이 적은 착수,3,3,SOME,2,CONSTRUCT_REWRITE,평가 앞 주저가 적다는 의도는 ER-WD LOW와 연결된다. 그러나 시작 시점의 불변은 기존 계획이나 SM-EP 습관을 더 강하게 반영하므로 걱정이 생겨도 착수를 미루지 않는 반응으로 재구성해야 한다.
m04-core-expert-kit.v0.1,R05,W2,9,NX-054,가까운 사람이 계획한 일이 뜻대로 되지 않았다고 메시지를 보낼 때,처음에는 그 사람이 지금 어떤 마음일지가 궁금해진다.,RO,RO-EC,HIGH,REPORTED_FIRST_ORIENTATION,CORE_BASELINE,CORE_TRAIT_EVIDENCE,REPORTED_FIRST_ORIENTATION,4,4,IMPORTANT,4,KEEP,문제가 생긴 메시지에서 상대의 현재 마음이 먼저 궁금한 반응은 RO-EC HIGH를 직접 포착한다. 가까운 관계와 비대면 장면을 포함해 범위를 넓힌다.
m04-core-expert-kit.v0.1,R05,W2,10,NX-114,해야 할 일이 평소보다 조금 늘었을 때,다 해내지 못할 것 같다는 생각이 계속 이어진다.,ER,ER-WD,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,감당 걱정 지속,4,4,IMPORTANT,4,KEEP,일이 조금 늘었을 때 실패 가능성 생각이 지속되는 반응은 ER-WD HIGH와 직접 맞는다. 실제 업무량보다 반복 걱정의 지속을 묻는 기준선 문항이다.
m04-core-expert-kit.v0.1,R05,W2,11,NX-088,공동 활동의 다음 순서가 정해지지 않았을 때,다른 사람이 방법을 꺼낼 때까지 상황을 살핀다.,SE,SE-AI,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,방법 제안 전 관찰,4,4,IMPORTANT,4,KEEP,방법이 필요한 상황에서 다른 사람이 꺼낼 때까지 기다리는 반응은 SE-AI LOW를 직접 묻는다. 진행 능력이 아니라 선택지 선행 표현에 초점이 있다.
m04-core-expert-kit.v0.1,R05,W2,12,NX-067,사람들과 부담 없이 시간을 보낸 뒤,혼자 조용히 회복할 시간이 필요해진다.,SE,SE-RE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,교류 후 회복 필요,4,4,IMPORTANT,4,KEEP,부담 없는 교류 뒤에도 혼자 회복할 시간이 필요한 반응은 SE-RE LOW의 사후 에너지 과정을 직접 측정한다. 교류 중 소모 문항과 다른 시간 범위를 보완한다.
m04-core-expert-kit.v0.1,R05,W2,13,NX-080,해보려던 일이 한 번 잘되지 않았을 때,다시 해도 잘되지 않을 장면이 반복해서 떠오른다.,ER,ER-WD,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,실패 예상 반복,4,4,IMPORTANT,3,KEEP,실패 뒤 재실패 장면이 반복되는 반응은 ER-WD HIGH의 부정 가능성 반복을 잘 포착한다. 상상 확장과 닿지만 내용의 불확실성 및 반복 걱정이 명시돼 분리 가능하다.
