protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,target_domain,target_facet,keyed_direction,response_layer,evidence_role,score_role,intended_response_process,target_relevance_rating_1_4,key_direction_fit_rating_1_4,coverage_contribution_rating,adjacent_separation_rating_1_4,recommendation,final_rationale
m04-core-expert-kit.v0.1,R06,W2,1,NX-029,사소한 선택에서 상대와 원하는 것이 다를 때,상대도 원하는 쪽을 선택할 수 있다는 생각이 든다.,RO,RO-RN,HIGH,REPORTED_FIRST_ORIENTATION,PRIVATE_DETAIL_RESEARCH,PROFILE_MODIFIER,REPORTED_FIRST_ORIENTATION,3,4,SOME,3,HOLD,상대도 선택할 수 있다는 생각은 RO-RN 높은 방향과 관련되지만 실제 선택 여지를 보장하는 행동은 아니다. 존중 규범의 정답성과 문화별 양보 기대가 커 비공개 프로필 수정자로 편향 검증 전 보류가 적절하다.
m04-core-expert-kit.v0.1,R06,W2,2,NX-097,여럿의 일정을 맞출 때,다른 사람의 가능 시간을 확인한 뒤 내 시간을 말한다.,SE,SE-AI,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,타인 정보 후 제시,3,4,SOME,2,COPY_REVISE,타인 시간 확인 뒤 자기 시간을 말하는 순서는 SE-AI 낮은 방향처럼 보이지만 배려 규범과 일정 조율 효율 및 위계에 좌우된다. 동등한 참여자에게 선택지나 의견을 먼저 제시하는 상황으로 고쳐야 한다.
m04-core-expert-kit.v0.1,R06,W2,3,NX-020,부담 없는 소규모 대화가 이어질 때,자연스럽게 그 흐름에 함께하게 된다.,SE,SE-RE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,상호작용 관여,4,4,IMPORTANT,4,KEEP,부담 없는 소규모 대화 흐름에 자연스럽게 참여하는 반응은 SE-RE 높은 방향에 맞는다. 말솜씨나 인기 및 특정 관계 상태를 요구하지 않아 핵심 증거로 포괄적이다.
m04-core-expert-kit.v0.1,R06,W2,4,NX-072,처음 보는 기능이 있는 생활용품을 사용할 때,왜 그런 방식으로 작동하는지 궁금해진다.,OE,OE-IE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,작동 이유 관심,4,4,IMPORTANT,3,KEEP,생활용품의 작동 이유가 궁금한 반응은 필요 범위 밖 OE-IE 탐구를 직접 묻는다. 기술 친숙성과 교육 차이가 일부 개입하지만 전문 지식이나 디지털 접근은 요구하지 않는다.
m04-core-expert-kit.v0.1,R06,W2,5,NX-023,궁금했던 질문의 답을 찾았을 때,그 답이 나온 이유나 배경까지 더 알아본다.,OE,OE-IE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,필요 범위 너머 탐색,4,4,IMPORTANT,4,KEEP,답을 얻은 뒤 이유와 배경을 더 알아보는 행동은 OE-IE 높은 방향을 명확히 포착한다. 주제를 특정 학문이나 직업으로 한정하지 않아 교육 편향이 비교적 낮다.
m04-core-expert-kit.v0.1,R06,W2,6,NX-135,마음에 드는 장면이나 소리를 접한 뒤,곧 다른 생각으로 관심이 옮겨간다.,OE,OE-AE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,인상 이탈,4,4,SOME,2,COPY_REVISE,좋아하는 장면이나 소리에서 관심이 곧 옮겨가는 것은 OE-AE 낮은 방향이다. 감각 장애와 접근 가능한 매체 차이를 줄이도록 자신이 접근 가능한 인상이라는 포괄 문구가 필요하다.
m04-core-expert-kit.v0.1,R06,W2,7,NX-066,이번 주 안에 할 일이 생겼을 때,할 수 있는 때가 생기면 시작한다.,SM,SM-OS,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,기회 기반 시점,2,3,SOME,2,CONSTRUCT_REWRITE,기회가 생기면 시작한다는 행동은 계획 시점 구조화보다 SM-EP 착수와 시간 여유를 더 강하게 반영한다. SM-OS 낮은 핵심 증거라면 언제 할지 정하지 않고 그때그때 시작한다고 다시 써야 한다.
m04-core-expert-kit.v0.1,R06,W2,8,NX-126,해야 하지만 당장 재미나 보상이 적은 일을 할 때,그날의 관심이나 기운에 따라 이어가는 정도가 달라진다.,SM,SM-EP,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,상태 의존 지속,4,4,IMPORTANT,3,HOLD,관심과 기운에 따른 지속 변동은 SM-EP 낮은 방향과 맞는다. 다만 만성 피로와 장애 및 ADHD 같은 상태가 trait로 오인될 수 있어 건강과 접근 여건별 편향 확인 전 핵심 채택을 보류한다.
m04-core-expert-kit.v0.1,R06,W2,9,NX-102,사소한 일이 생각대로 되지 않을 때,짜증이 금방 커진다.,ER,ER-IR,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,빠른 짜증 활성화,4,4,SOME,4,KEEP,사소한 좌절에서 짜증이 빠르게 커지는 것은 ER-IR 높은 방향을 직접 묻는다. 진단명이나 민감한 사건을 요구하지 않는 저강도 상황이라 임상 낙인과 개인정보 위험이 낮다.
m04-core-expert-kit.v0.1,R06,W2,10,NX-099,다른 사람에게 해주기로 한 일이 있을 때,잊지 않도록 내가 확인할 방법을 마련한다.,SM,SM-RL,HIGH,SINGLE_RESPONSE,CONDITIONAL_MAIN,CONDITIONAL_TRAIT_EVIDENCE,자발적 기억 보조,3,4,SOME,2,COPY_REVISE,약속 이행을 위한 자발적 보조 마련은 SM-RL에 기여하지만 기억 능력과 SM-OS 계획도 함께 측정한다. 조건부 증거라면 기억력 자체가 아니라 합의를 확인하는 습관으로 문구를 바꿔야 한다.
