protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,target_domain,target_facet,keyed_direction,response_layer,evidence_role,score_role,intended_response_process,target_relevance_rating_1_4,key_direction_fit_rating_1_4,coverage_contribution_rating,adjacent_separation_rating_1_4,recommendation,final_rationale
m04-core-expert-kit.v0.1,R02,W3,1,NX-073,관심 있는 주제로 대화가 길어질 때,기운이 계속 이어진다.,SE,SE-RE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,지속 교류 활력,4,4,IMPORTANT,4,KEEP,관심 있는 주제로 대화가 길어져도 에너지가 이어지는 경험을 짧고 직접적으로 묻는다. 높은 관계 에너지의 핵심 증거이며 참여 주도성과도 구분된다.
m04-core-expert-kit.v0.1,R02,W3,2,NX-085,여럿이 일을 나눠 맡았을 때,다른 사람이 물어볼 때 내 부분의 진행 상태를 확인한다.,SM,SM-RL,LOW,SINGLE_RESPONSE,CONDITIONAL_MAIN,CONDITIONAL_TRAIT_EVIDENCE,요청 후 진행 확인,3,4,SOME,2,COPY_REVISE,다른 사람이 물은 뒤에야 진행을 확인하는 행동은 낮은 책임 이행과 관련된다. 다만 확인 습관과 과업 관리가 함께 작용하므로 요청 전후의 공유 행동으로 좁히는 편이 낫다.
m04-core-expert-kit.v0.1,R02,W3,3,NX-015,상대의 답이나 반응이 늦어질 때,좋지 않은 이유가 반복해서 떠오른다.,ER,ER-WD,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,부정적 이유 반복,4,4,IMPORTANT,4,KEEP,답이 늦는 불확실한 상황에서 부정적 이유가 반복되는 생각을 직접 묻는다. 높은 걱정 지속의 핵심 반응이며 정서 강도와도 잘 분리된다.
m04-core-expert-kit.v0.1,R02,W3,4,NX-026,여럿이 모였지만 대화가 시작되지 않았을 때,내가 먼저 이야기할 주제를 꺼낸다.,SE,SE-AI,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,대화 시작,4,4,IMPORTANT,4,KEEP,대화가 시작되지 않은 상황에서 주제를 먼저 꺼내는 단일 행동이 높은 선행 표현을 선명하게 보여준다. 관계 에너지와 구분되고 핵심 증거로 이해하기 쉽다.
m04-core-expert-kit.v0.1,R02,W3,5,NX-030,현실과 다른 가벼운 가정을 접할 때,그 상황을 잠시 생각한 뒤 현재 내용으로 돌아온다.,OE,OE-CI,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,가정에 짧게 관여,4,4,SOME,4,COPY_REVISE,가벼운 가정을 더 확장하지 않고 원래 이야기로 돌아오는 반응은 낮은 상상 확장에 맞는다. 잠시와 현재 내용의 기준이 모호하므로 다른 장면을 이어 떠올리지 않는다고 다듬어야 한다.
m04-core-expert-kit.v0.1,R02,W3,6,NX-054,가까운 사람이 계획한 일이 뜻대로 되지 않았다고 메시지를 보낼 때,처음에는 그 사람이 지금 어떤 마음일지가 궁금해진다.,RO,RO-EC,HIGH,REPORTED_FIRST_ORIENTATION,CORE_BASELINE,CORE_TRAIT_EVIDENCE,REPORTED_FIRST_ORIENTATION,4,4,IMPORTANT,4,KEEP,가까운 사람의 실패 소식에서 현재 마음이 먼저 궁금해지는 내적 방향을 직접 묻는다. 높은 감정 우선의 핵심 증거이며 실제 행동과 분리되어 해석 가능하다.
m04-core-expert-kit.v0.1,R02,W3,7,NX-082,함께 있던 사람이 평소보다 지쳐 보일 때,상대가 먼저 말을 꺼내면 그때 이야기를 듣는다.,RO,RO-EC,LOW,ENACTED_RESPONSE,PROCESS_PROFILE_MODIFIER,PROFILE_MODIFIER,ENACTED_RESPONSE,2,2,SOME,1,CONSTRUCT_REWRITE,상대가 먼저 말할 때까지 기다리는 행동은 감정 관심 부족보다 사생활과 선택 존중을 뜻할 수 있다. 과정 프로필로 쓰려면 마음을 알아차린 뒤 먼저 묻는지 여부를 다른 의도와 겹치지 않게 다시 구성해야 한다.
m04-core-expert-kit.v0.1,R02,W3,8,NX-063,익숙한 사람들과 한동안 이야기를 나눌 때,혼자 조용히 있을 시간이 필요해진다.,SE,SE-RE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,교류 중 회복 필요,4,4,IMPORTANT,4,KEEP,익숙한 사람과의 대화 중에도 혼자 회복할 시간이 필요한지를 쉽게 묻는다. 낮은 관계 에너지 방향을 선명하게 포착하며 낯선 사람 불안과도 구분된다.
m04-core-expert-kit.v0.1,R02,W3,9,NX-023,궁금했던 질문의 답을 찾았을 때,그 답이 나온 이유나 배경까지 더 알아본다.,OE,OE-IE,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,필요 범위 너머 탐색,4,4,IMPORTANT,4,KEEP,필요한 답을 얻은 뒤에도 이유와 배경을 더 알아보는 행동이 높은 지적 탐색을 직접 보여준다. 상황이 보편적이고 다른 개방성 하위 요소와도 구분된다.
m04-core-expert-kit.v0.1,R02,W3,10,NX-055,여럿이 간단한 선택을 정할 때,다른 사람이 선택지를 꺼낸 뒤 내 의견을 보탠다.,SE,SE-AI,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,제안 후 의견 추가,4,4,SOME,4,KEEP,간단한 공동 선택에서 타인의 제안 뒤 의견을 더하는 행동이 낮은 선행 표현을 보여준다. 표현 순서가 명확하고 관계 에너지와도 구분된다.
m04-core-expert-kit.v0.1,R02,W3,11,NX-109,영상을 보거나 대화하던 중 처음 듣는 개념이 나왔을 때,영상이나 대화를 이해할 만큼만 뜻을 확인한다.,OE,OE-IE,LOW,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,필요한 의미 범위에서 탐색 종료,4,4,SOME,4,COPY_REVISE,새 개념을 현재 내용을 이해할 범위까지만 확인하는 반응은 낮은 지적 탐색에 맞는다. 이해할 만큼만이라는 개인 기준을 필요한 뜻을 알면 탐색을 멈춘다는 표현으로 다듬으면 좋다.
m04-core-expert-kit.v0.1,R02,W3,12,NX-102,사소한 일이 생각대로 되지 않을 때,짜증이 금방 커진다.,ER,ER-IR,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,빠른 짜증 활성화,4,4,IMPORTANT,4,COPY_REVISE,사소한 일이 어긋난 직후 짜증이 커지는 반응은 높은 정서 반응성을 직접 보여준다. 금방이라는 시간 기준을 상황을 확인하는 동안이라는 구체적 구간으로 바꾸면 더 안정적이다.
m04-core-expert-kit.v0.1,R02,W3,13,NX-132,하나의 가벼운 가능성이 떠올랐을 때,뒤에 이어질 장면까지 펼쳐본다.,OE,OE-CI,HIGH,SINGLE_RESPONSE,CORE_BASELINE,CORE_TRAIT_EVIDENCE,가능성 연쇄 확장,4,4,IMPORTANT,4,KEEP,처음 떠오른 가능성 뒤의 장면까지 이어 만드는 반응이 높은 상상 확장을 선명하게 보여준다. 한 반응으로 쉽고 지적 탐색과도 구분된다.
m04-core-expert-kit.v0.1,R02,W3,14,NX-032,맡은 일을 약속한 때까지 마치기 어려워졌을 때,약속한 때가 가까워진 뒤 상황을 알린다.,SM,SM-RL,LOW,SINGLE_RESPONSE,CONDITIONAL_MAIN,CONDITIONAL_TRAIT_EVIDENCE,임박 후 알림,4,4,IMPORTANT,3,COPY_REVISE,마감이 어려운 조건에서 늦게 상황을 알리는 행동은 낮은 책임 이행 방향을 잘 보여준다. 가까워진 뒤가 마감 전인지 지난 뒤인지 모호하므로 알림 시점을 더 분명히 해야 한다.
m04-core-expert-kit.v0.1,R02,W3,15,NX-141,사소한 선택에서 상대와 원하는 것이 다를 때,내가 원하는 쪽으로 정할 이유가 먼저 떠오른다.,RO,RO-RN,LOW,REPORTED_FIRST_ORIENTATION,PRIVATE_DETAIL_RESEARCH,PROFILE_MODIFIER,REPORTED_FIRST_ORIENTATION,1,2,SOME,1,EXCLUDE,자기 선호의 이유가 먼저 떠오르는 것만으로 상대 선택을 존중하거나 제한하는지 알 수 없다. 인접한 자기표현과 사고 생성이 더 크게 작용해 상세 신호로도 목표 성향을 안정적으로 해석하기 어렵다.
