protocol_version,round_id,slot_id,form_id,participant_id_pseudonymous,age_band,gender_self_description_optional,life_context,region_context,education_experience,digital_reading_pattern,assessment_familiarity,access_support,coverage_notes,status
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_A-01,FORM_A,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_A-02,FORM_A,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_A-03,FORM_A,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_A-04,FORM_A,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_B-01,FORM_B,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_B-02,FORM_B,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_B-03,FORM_B,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_B-04,FORM_B,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_C-01,FORM_C,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_C-02,FORM_C,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_C-03,FORM_C,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_C-04,FORM_C,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_D-01,FORM_D,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_D-02,FORM_D,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_D-03,FORM_D,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_D-04,FORM_D,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_E-01,FORM_E,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_E-02,FORM_E,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_E-03,FORM_E,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R1,R1-FORM_E-04,FORM_E,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_A-01,FORM_A,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_A-02,FORM_A,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_A-03,FORM_A,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_A-04,FORM_A,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_B-01,FORM_B,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_B-02,FORM_B,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_B-03,FORM_B,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_B-04,FORM_B,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_C-01,FORM_C,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_C-02,FORM_C,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_C-03,FORM_C,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_C-04,FORM_C,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_D-01,FORM_D,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_D-02,FORM_D,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_D-03,FORM_D,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_D-04,FORM_D,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_E-01,FORM_E,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_E-02,FORM_E,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_E-03,FORM_E,,,,,,,,,,,NOT_RECRUITED
ENAKQ-GATE-C-COGNITIVE-CONTENT-VALIDITY.v0.1,R2,R2-FORM_E-04,FORM_E,,,,,,,,,,,NOT_RECRUITED
