protocol_version,packet_version,reviewer_id,reviewer_role,wave_id,sequence_in_wave,claim_id,claim_kind,canonical_section,priority,contexts,evidence_status,publication_state,privacy_scope,required_signals,content_key,source_block_ref,source_section_title,source_excerpt,external_evidence,internal_evidence,review_reason,decision,construct_fit_rating_1_4,evidence_fit_rating_1_4,inference_scope_rating_1_4,language_safety_rating_1_4,risk_flags,required_revision,rationale,reviewer_confidence,conflict_of_interest
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W2,1,ENAKQ.friend.context,context_hypothesis,friend,high,friend,COGNITIVE_REVIEW_REQUIRED,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.friend.context,ENAKQ-P8-01,친구와 가까워지는 방식,"친구 관계에서는 함께 시간을 보내며 에너지가 오르고, 새로운 대화나 활동을 먼저 제안하는 모습이 나타날 수 있어요. 친한 친구에게 먼저 연락하거나, 여러 명이 만날 때 날짜와 할 일을 꺼내거나, 오랜만에 만난 자리에서 이야기를 이어갈 주제를 제안할 수 있어요. 이런 시작이 관계를 편하게 이어주는 역할을 할 수도 있어요. 그렇다고 ENAKQ가 늘 먼저 연락해야 관계가 유지되는 것은 아니에요. 표현 시작 점수가 가운데에 가깝거나, 최근에 지쳤거나, 먼저 연락하는 역할이 한 사람에게만 쏠렸다면 잠시 기다릴 수 있어요. 친구가 먼저 제안하기를 바라는 마음도 자연스러워요. 연락을 시작한 횟수를 우정의 깊이나 관계 노력의 점수로 사용하지 않아요. 새로운 친구와 친한 친구 앞에서 E가 다르게 보일 수도 있어요. 처음 만난 사람에게는 예의와 긴장 때문에 충분히 살핀 뒤 말하고, 친한 친구 사이에서는 대화를 빠르게 이어갈 수 있어요. 반대로 처음 만난 자리에서는 질문을 잘 꺼내지만 가까워질수록 조용히 함께 있는 시간이 편한 사람도 있어요. 친구 관계의 친숙도와 모임 크기를 함께 확인해야 해요.",상황 연구+FRIEND-DAILY,ENAKQ Part 3 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W2,2,ENAKQ.friend.distance,observable_response,friend,high,friend,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.friend.distance,ENAKQ-P8-04,친구와 가까워지는 방식,"친구의 답장이 평소보다 늦거나 약속이 미뤄지면 여러 이유가 떠오르며 걱정이 커질 수 있어요. 최근 대화에서 불편한 말이 있었는지, 친구가 힘든 일이 있는지, 관계가 멀어진 것은 아닌지 생각할 수 있어요. N이 가능한 설명을 넓히고 Q가 좋지 않은 가능성에 오래 머물면 확인되지 않은 이야기가 커질 수도 있어요. 이는 아직 검증이 필요한 조합 가설이고 모든 ENAKQ에게 공통되지 않아요. 답장이 늦다는 사실만으로 친구 마음을 정하지 않아요. 바쁜 일정, 연락 습관, 쉬는 방식, 알림을 확인하는 시간은 사람마다 달라요. 확인하고 싶다면 요즘 바쁜지, 급하지 않은 연락은 언제 답해도 편한지를 물을 수 있어요. 답을 재촉하거나 이유를 설명하도록 요구하지 않으면서도 서로 편한 기대를 맞출 수 있어요. 거리 조절은 관계가 나빠진 신호만은 아니에요. 자주 만나던 친구와 연락 간격이 달라질 수 있고, 각자의 생활이 바뀌어도 다시 만났을 때 편한 관계가 있어요. ENAKQ가 교류에서 에너지를 얻는다는 이유로 모든 친구와 같은 빈도로 연결될 필요는 없어요.",Q 단일 정의+친구 가설,ENAKQ Part 3 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W2,3,ENAKQ.friend.initiation,observable_response,friend,high,friend,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.friend.initiation,ENAKQ-P8-01,친구와 가까워지는 방식,"친구 관계에서는 함께 시간을 보내며 에너지가 오르고, 새로운 대화나 활동을 먼저 제안하는 모습이 나타날 수 있어요. 친한 친구에게 먼저 연락하거나, 여러 명이 만날 때 날짜와 할 일을 꺼내거나, 오랜만에 만난 자리에서 이야기를 이어갈 주제를 제안할 수 있어요. 이런 시작이 관계를 편하게 이어주는 역할을 할 수도 있어요. 그렇다고 ENAKQ가 늘 먼저 연락해야 관계가 유지되는 것은 아니에요. 표현 시작 점수가 가운데에 가깝거나, 최근에 지쳤거나, 먼저 연락하는 역할이 한 사람에게만 쏠렸다면 잠시 기다릴 수 있어요. 친구가 먼저 제안하기를 바라는 마음도 자연스러워요. 연락을 시작한 횟수를 우정의 깊이나 관계 노력의 점수로 사용하지 않아요. 새로운 친구와 친한 친구 앞에서 E가 다르게 보일 수도 있어요. 처음 만난 사람에게는 예의와 긴장 때문에 충분히 살핀 뒤 말하고, 친한 친구 사이에서는 대화를 빠르게 이어갈 수 있어요. 반대로 처음 만난 자리에서는 질문을 잘 꺼내지만 가까워질수록 조용히 함께 있는 시간이 편한 사람도 있어요. 친구 관계의 친숙도와 모임 크기를 함께 확인해야 해요.",E 단일 정의,ENAKQ Part 3 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W2,4,ENAKQ.friend.novelty,observable_response,friend,high,friend,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.friend.novelty,ENAKQ-P8-02,친구와 가까워지는 방식,"N은 친구와 새로운 경험을 찾아보는 모습으로 나타날 수 있어요. 가보지 않은 장소, 해보지 않은 활동, 서로 생각을 나눌 주제를 제안할 수 있어요. K가 함께 드러나면 말로 끝내지 않고 날짜와 준비를 정해 실제 약속으로 이어가려 할 수도 있어요. 친구는 이런 제안을 함께할 기회가 늘어나는 것으로 느낄 수 있어요. 하지만 친구가 새로운 활동보다 익숙한 만남을 편하게 느낄 수도 있어요. ENAKQ에게 흥미로운 선택지가 상대에게는 준비할 일이 많고 부담스러운 계획일 수 있어요. 제안이 거절됐다고 관계에 관심이 없다고 해석하지 않고, 활동의 새로움·비용·시간·사람 수 중 무엇이 부담인지 나누어 물어볼 수 있어요. 약속을 정리하는 사람이 늘 ENAKQ 한 명이라면 제안의 즐거움과 준비의 부담을 따로 봐야 해요. 아이디어를 함께 고르는 것과 예약·연락·정산을 맡는 것은 다른 일이에요. 이번에는 무엇을 하고 싶은지와 누가 어떤 준비를 맡을지를 나누면 N의 탐색이 한 사람의 보이지 않는 일로 이어지는 것을 줄일 수 있어요.",N 단일 정의,ENAKQ Part 3 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W2,5,ENAKQ.friend.reciprocity,observable_response,friend,high,friend,COGNITIVE_REVIEW_REQUIRED,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.friend.reciprocity,ENAKQ-P8-05,친구와 가까워지는 방식,"관계를 이어가는 노력의 양이 달라 보이면 오해가 생길 수 있어요. 한 사람은 약속을 먼저 제안하고 다른 사람은 제안에 기쁘게 참여하는 방식으로 관계에 기여할 수 있어요. 먼저 연락하는 사람은 나만 노력한다고 느끼고, 기다리는 사람은 친구가 원할 때 연락해 주는 편이 편하다고 생각할 수 있어요. 행동 횟수만 비교하면 서로 다른 기여 방식을 놓칠 수 있어요. 서운함이 생겼을 때에는 인물 평가보다 구체적인 장면을 말하는 편이 좋아요. 너는 관계에 관심이 없어보다 최근 세 번은 내가 먼저 약속을 물어서, 가끔은 네가 먼저 제안해 주면 좋겠어처럼 경험과 바람을 분리할 수 있어요. ENAKQ가 상대 마음을 많이 추측하는 대신 자신이 원하는 행동을 말하면 친구도 대응할 정보를 얻어요. 친구 사이의 어긋남을 반드시 깊은 대화로 해결해야 하는 것은 아니에요. 짧게 사과하고 다음 약속을 다르게 잡는 것이 충분할 수도 있고, 시간을 둔 뒤 이야기하는 편이 나을 수도 있어요. 관계의 중요도와 문제의 크기, 서로의 여유를 확인해야 해요. 안전하지 않거나 반복적으로 경계를 무시하는 관계에는 계속 조율하라는 안내를 제공하지 않아요.",FRIEND-DAILY 간접,ENAKQ Part 3 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W2,6,ENAKQ.friend.repair,observable_response,friend,high,friend,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.friend.repair,ENAKQ-P8-05,친구와 가까워지는 방식,"관계를 이어가는 노력의 양이 달라 보이면 오해가 생길 수 있어요. 한 사람은 약속을 먼저 제안하고 다른 사람은 제안에 기쁘게 참여하는 방식으로 관계에 기여할 수 있어요. 먼저 연락하는 사람은 나만 노력한다고 느끼고, 기다리는 사람은 친구가 원할 때 연락해 주는 편이 편하다고 생각할 수 있어요. 행동 횟수만 비교하면 서로 다른 기여 방식을 놓칠 수 있어요. 서운함이 생겼을 때에는 인물 평가보다 구체적인 장면을 말하는 편이 좋아요. 너는 관계에 관심이 없어보다 최근 세 번은 내가 먼저 약속을 물어서, 가끔은 네가 먼저 제안해 주면 좋겠어처럼 경험과 바람을 분리할 수 있어요. ENAKQ가 상대 마음을 많이 추측하는 대신 자신이 원하는 행동을 말하면 친구도 대응할 정보를 얻어요. 친구 사이의 어긋남을 반드시 깊은 대화로 해결해야 하는 것은 아니에요. 짧게 사과하고 다음 약속을 다르게 잡는 것이 충분할 수도 있고, 시간을 둔 뒤 이야기하는 편이 나을 수도 있어요. 관계의 중요도와 문제의 크기, 서로의 여유를 확인해야 해요. 안전하지 않거나 반복적으로 경계를 무시하는 관계에는 계속 조율하라는 안내를 제공하지 않아요.",제품 대화 가설,ENAKQ Part 3 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W2,7,ENAKQ.friend.support,conversation_prompt,friend,high,friend,HOLD,research_only,comparison_safe,domain_scores;relationship_context,trait-map.enakq.friend.support,ENAKQ-P8-03,친구와 가까워지는 방식,"친구가 고민을 말하면 상대 마음이 먼저 신경 쓰일 수 있어요. 실제 반응은 과정 자료에 따라 달라져요. A→A에 가까운 사람은 친구가 느낀 마음과 더 말하고 싶은 부분을 먼저 확인할 수 있고, A→G에 가까운 사람은 마음이 신경 쓰이면서도 사건의 원인이나 가능한 해결부터 정리할 수 있어요. 어느 쪽이 더 좋은 친구를 뜻하지 않아요. 친구가 기대한 반응과 실제 반응이 다르면 선의가 있어도 서운함이 생길 수 있어요. 들어주길 원했는데 해결 방법이 이어지면 평가받는 느낌이 들 수 있고, 당장 방법이 필요한데 마음만 물으면 답답하게 느껴질 수 있어요. 지금은 그냥 들어줄까, 같이 방법을 찾아볼까?라는 질문은 두 사람의 성향을 맞히는 대신 현재 필요한 대화 방식을 확인해요. 친구의 이야기를 듣는 동안 본인의 여유도 중요해요. A가 선명하다고 언제든 고민을 들어줘야 하는 것은 아니에요. 오늘은 길게 듣기 어렵지만 내일 다시 이야기할 수 있어, 이 문제는 내가 도울 수 있는 범위를 넘는 것 같아처럼 가능한 범위를 말하는 것은 관계 관심이 부족하다는 뜻이 아니에요.",SUPPORT-MATCHING+과정 계약,ENAKQ Part 3 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W2,8,ENAKQ.growth.A_experiment,growth_practice,strengths_and_growth,high,general,COGNITIVE_REVIEW_REQUIRED,research_only,comparison_safe,domain_scores,trait-map.enakq.growth.a_experiment,ENAKQ-P13-04,"강점, 과하게 쓸 때, 작은 실험","A의 관계 주의가 상황에 맞게 나타나면 결정이나 말이 상대에게 어떤 영향을 줄지 한 번 더 살필 수 있어요. 가족이나 친구가 평소와 달라 보일 때 상태를 묻거나, 협업에서 말하지 못한 부담이 있는지 확인할 수도 있어요. 이는 따뜻함·착함·공감 능력의 점수가 아니라 관계 장면에서 관심이 향할 수 있는 곳을 말해요. 상대 마음을 많이 생각해도 실제 마음과 다를 수 있어요. 부담을 주지 않으려다 필요한 말을 미루거나, 상대를 위해 고른 행동이 오히려 선택권을 줄일 수도 있어요. A가 선명하다는 이유로 늘 들어주거나 맞춰야 하는 것도 아니에요. 자신의 필요와 가능한 범위 역시 관계 안에 놓여야 해요. 다음 한 번은 추측 뒤에 바로 행동을 정하지 않고 짧게 확인해 볼 수 있어요. 지금은 들어주길 원하는지 같이 방법을 찾을지, 이 제안이 편한지 다른 선택이 필요한지를 물어요. 동시에 내가 지금 할 수 있는 범위도 말해요. 상대의 답과 본인의 범위가 모두 반영되었는지를 실험의 결과로 봐요.",과정 계약+제품 가설,ENAKQ Part 5 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W2,9,ENAKQ.growth.check,growth_practice,strengths_and_growth,high,general,HOLD,research_only,comparison_safe,domain_scores,trait-map.enakq.growth.check,ENAKQ-P12-06,부담이 커질 때와 회복,"부담이 커졌을 때 자신을 탓하기 전에 상황을 먼저 볼 수 있어요. 최근에 부담이 겹쳤는지, 쉬는 시간과 필요한 정보가 부족했는지, 통제하기 어려운 변화가 있었는지, 다른 사람의 기대가 분명했는지 확인해요. Q는 환경을 견디는 능력을 평가하는 코드가 아니므로, 반응을 줄이는 일만 목표로 삼지 않아요. 다음 선택을 위해 네 가지를 짧게 적어 볼 수 있어요. 무슨 일이 있었는지, 처음 든 생각과 감정은 무엇인지, 실제로 어떤 반응이 나타났는지, 지금 필요한 변화나 지원은 무엇인지 나누어 봐요. 사실·생각·반응·필요를 분리하면 성향 설명이 모든 원인을 차지하는 것을 막을 수 있어요. 작은 실험은 사람을 바꾸는 숙제가 아니라 환경과 지원을 확인하는 방법이어야 해요. 다음 한 번만 기준을 미리 요청하거나, 시작 전에 확인 시간을 정하거나, 감정이 커졌을 때 다시 이야기할 시간을 약속해 볼 수 있어요. 결과가 도움이 되지 않으면 실패가 아니라 본인에게 맞지 않은 조건을 발견한 자료로 남겨요.",제품 작은 실험 가설,ENAKQ Part 4 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
enakq-trait-map-expert-review.v0.1,ENAKQ-EXPERT-PACKET.v0.1,,relationship_safety,W2,10,ENAKQ.growth.choice,growth_practice,strengths_and_growth,high,general,COGNITIVE_REVIEW_REQUIRED,research_only,comparison_safe,domain_scores,trait-map.enakq.growth.choice,ENAKQ-P13-08,"강점, 과하게 쓸 때, 작은 실험","성향은 비교적 반복되는 경향이지만 평생 같은 행동만 해야 한다는 뜻은 아니에요. 연구에서는 임상·비임상 개입 뒤 성격 자기보고가 달라진 사례와 디지털 개입에서 사용자가 원한 방향의 변화가 보고됐어요. 하지만 여러 요소가 포함된 수개월 개입의 결과를 뉴앙의 짧은 질문이나 작은 실험 효과로 바꿀 수는 없어요. 뉴앙의 성장 기능은 사용자가 바꾸고 싶은 행동을 직접 고르는 선택형 기능이어야 해요. 반대 글자가 되라고 권하거나, Q를 낮추고 K를 높이는 식의 좋은 방향을 정하지 않아요. 다음 한 번에 해볼 행동, 그 행동이 필요한 상황, 도움이 되었는지 확인할 기준만 정하고, 원하지 않으면 시작하지 않거나 언제든 그만둘 수 있어야 해요. 실험 기록은 본인 전용으로 두고 공개 코드나 비교 점수에 자동 반영하지 않아요. 완료 횟수로 성장 등급을 매기거나 친구와 경쟁시키지 않아요. 행동이 달라져도 대표 성향이 바뀌었다고 즉시 판정하지 않으며, 성향을 다시 확인하려면 적절한 간격·같은 기준·별도 재검사 정책이 필요해요.",DIGITAL-CHANGE의 자발성 간접,ENAKQ Part 5 claim mapping,"관계 결정론, 임상·낙인·문화 규범, 개인정보와 사용자 안전을 검토",,,,,,,,,,
