protocol_version,reviewer_slot,wave_id,sequence_in_wave,opaque_item_id,context_label,prompt_text,first_construct_mapping,second_construct_mapping,direction_guess,clarity_rating_1_4,single_response_rating_1_4,universality_rating_1_4,scale_fit_rating_1_4,desirable_direction_guess,risk_flags,fatal_risk_note,stage1_notes
m04-core-expert-kit.v0.1,R08,W2,1,NX-070,하나의 가벼운 가능성이 떠올랐을 때,처음 떠오른 장면만 생각하고 다른 일로 넘어간다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,2,NX-045,끝내기까지 작은 마무리만 남았을 때,필요해지는 시점까지 남은 부분을 그대로 둔다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,3,NX-048,하늘이나 나무 같은 일상 풍경을 볼 때,색과 분위기가 주는 인상에 눈길이 간다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,4,NX-134,하던 일을 일상적인 이유로 잠시 멈춘 뒤,다시 시작할 계기가 생길 때까지 그대로 둔다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,5,NX-002,처음 들어간 일상 공간을 둘러볼 때,그곳이 주는 분위기에 관심이 간다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,6,NX-066,이번 주 안에 할 일이 생겼을 때,할 수 있는 때가 생기면 시작한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,7,NX-101,맡은 일을 약속한 때까지 마치기 어려워졌을 때,약속한 때가 오기 전에 상황을 알리고 다시 맞춘다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,8,NX-116,상대와 의견이 달라 대화가 길어질 때,답답함과 짜증이 빠르게 커진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,9,NX-053,결과가 아직 정해지지 않은 일을 기다릴 때,잘못될 가능성을 오래 생각하지 않는다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,10,NX-010,상대의 실수 때문에 함께한 일에 문제가 생겼을 때,그 사람의 태도나 성격까지 함께 말한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,11,NX-124,가보지 않은 공간에 대한 설명을 접할 때,그곳의 모습을 머릿속으로 그려본다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,12,NX-049,하던 중 예상하지 못한 작은 문제가 생겼을 때,불편한 감정이 한꺼번에 올라온다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,13,NX-099,다른 사람에게 해주기로 한 일이 있을 때,잊지 않도록 내가 확인할 방법을 마련한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,14,NX-108,함께할 계획에서 상대가 다른 방향을 원한다고 다시 말했을 때,내가 원하는 방향의 이유를 계속 설명한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,15,NX-015,상대의 답이나 반응이 늦어질 때,좋지 않은 이유가 반복해서 떠오른다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,16,NX-011,함께 있던 사람이 평소보다 지쳐 보일 때,그 사람이 괜찮은지 자연스럽게 신경이 간다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,17,NX-063,익숙한 사람들과 한동안 이야기를 나눌 때,혼자 조용히 있을 시간이 필요해진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,18,NX-107,여럿이 일을 나눠 맡았을 때,필요한 시점 전에 내 부분의 진행 상태를 확인한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,19,NX-046,다른 사람과 정한 내용이 여러 가지일 때,내가 맡은 내용과 시점을 다시 확인한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,20,NX-029,사소한 선택에서 상대와 원하는 것이 다를 때,상대도 원하는 쪽을 선택할 수 있다는 생각이 든다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,21,NX-022,일상에서 음악을 들을 때,그 인상에 머무는 시간은 짧다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,22,NX-092,이야기의 다음 내용을 알기 전,지금까지 나온 이야기만 되짚어보며 기다린다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,23,NX-023,궁금했던 질문의 답을 찾았을 때,그 답이 나온 이유나 배경까지 더 알아본다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,24,NX-098,누군가 힘들었던 일을 이야기할 때,그 사람이 어떤 마음이었는지에 주의가 간다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,25,NX-037,사소한 일이 생각대로 되지 않을 때,불편해도 감정의 크기는 천천히 변한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,26,NX-113,처음 만난 사람들과 가볍게 이야기할 때,대화 흐름에 함께할수록 기운이 붙는다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,27,NX-150,반복해서 쓰는 물건이나 자료를 둘 때,그때 쓰기 편한 곳에 둔다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,28,NX-121,함께하는 방식에 작은 조정이 필요할 때,상대가 물어본 뒤 필요한 부분을 말한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,29,NX-072,처음 보는 기능이 있는 생활용품을 사용할 때,왜 그런 방식으로 작동하는지 궁금해진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,30,NX-014,여러 날에 걸쳐 해야 하는 일이 있을 때,손이 가는 날에 몰아서 진행한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,31,NX-125,여럿이 가벼운 활동을 한동안 함께할 때,시간이 지날수록 기운이 줄어든다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,32,NX-034,의견 충돌이 길어져 답답해졌을 때,상대 자체와 지금 의견의 문제는 다르다는 생각이 든다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,33,NX-035,대화 중 전에 들었던 것과 비슷한 설명이 나왔을 때,지금 들은 설명에만 관심을 둔다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,34,NX-109,영상을 보거나 대화하던 중 처음 듣는 개념이 나왔을 때,영상이나 대화를 이해할 만큼만 뜻을 확인한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,35,NX-089,가깝지는 않은 사람이 힘든 일에 대한 내 의견을 물을 때,처음에는 그 사람이 어떤 마음이었는지가 궁금해진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,36,NX-005,누군가 해결책을 묻지 않고 속상한 일을 이야기할 때,이야기의 원인과 결과가 먼저 궁금해진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,37,NX-027,미뤄도 당장 문제없는 할 일이 생겼을 때,해야 할 때가 가까워지기 전에 첫 행동을 시작한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,38,NX-036,여럿의 일정을 맞출 때,내가 가능한 시간을 먼저 알린다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,39,NX-140,현실과 다른 가벼운 가정을 접할 때,그 안에서 일어날 장면을 이어서 떠올린다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,40,NX-062,앱이나 서비스에서 처음 보는 이용 규칙을 안내받았을 때,이용에 필요한 방법만 확인한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,41,NX-074,일상에서 색과 빛이 어우러진 장면을 볼 때,그 인상에 눈길이 오래 머문다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,42,NX-017,가깝지는 않은 사람이 힘든 일을 꺼낼 때,그 사람이 느낀 마음보다 일어난 일이 먼저 궁금해진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,43,NX-086,가벼운 주제에서 의견이 엇갈릴 때,다른 사람들의 반응을 본 뒤 내 생각을 말한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,44,NX-020,부담 없는 소규모 대화가 이어질 때,자연스럽게 그 흐름에 함께하게 된다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,45,NX-073,관심 있는 주제로 대화가 길어질 때,기운이 계속 이어진다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,46,NX-084,내 제안을 충분히 설명한 뒤 상대가 원하지 않는다고 말했을 때,결정을 바꿀 다른 설득 방법이 떠오른다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,47,NX-039,결과를 확신하기 어려운 선택을 해야 할 때,걱정이 생겨도 필요한 시점에는 결정을 내린다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,48,NX-115,인터넷에서 같은 주제를 다르게 설명하는 글 두 개를 발견했을 때,한 글의 설명으로 이해되면 다른 글은 더 살펴보지 않는다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,49,NX-004,해야 할 일이 몇 가지 겹쳐 있을 때,할 일을 순서나 묶음으로 정리한다.,,,,,,,,,,,
m04-core-expert-kit.v0.1,R08,W2,50,NX-149,해야 할 일이 평소보다 조금 늘었을 때,일이 늘어도 걱정이 오래 이어지지는 않는다.,,,,,,,,,,,
